theta1,theta2,theta3,theta4,pulsos1,pulsos2,pulsos3,pulsos4,velocidad1,velocidad2,velocidad3,velocidad4
0.21301381289958954,1.0913851261138916,-1.586364507675171,-1.2667797803878784,11.704055653823602,59.966215720543495,-87.16288503709731,-69.60328463669661,[-0.01571072],[0.00987835],[-0.02251905],[-0.01758996]
0.21144647896289825,1.0923738479614258,-1.5886229276657104,-1.268538236618042,11.617938404554849,60.02054109678164,-87.28697404756652,-69.69990311088144,[-0.01601359],[0.00981071],[-0.02239591],[-0.01748713]
0.20984825491905212,1.0933549404144287,-1.5908640623092651,-1.2702815532684326,11.530123896651215,60.07444727551806,-87.41011331369589,-69.79568974002378,[-0.01644931],[0.00970795],[-0.02222594],[-0.01734116]
0.20820778608322144,1.0943266153335571,-1.5930936336517334,-1.2720179557800293,11.439988246330849,60.1278360073383,-87.53261723361173,-69.89109647143019,[-0.01671494],[0.00959756],[-0.02205699],[-0.0171923]
0.20653919875621796,1.0952873229980469,-1.5952935218811035,-1.2737482786178589,11.34830762396802,60.18062214274983,-87.65349021324745,-69.98616915482741,[-0.01713401],[0.00946061],[-0.02191004],[-0.01704422]
0.20483005046844482,1.0962342023849487,-1.5974785089492798,-1.2754597663879395,11.254398377387078,60.23264848268949,-87.77354444776263,-70.08020694439229,[-0.01746979],[0.00935717],[-0.02180125],[-0.01693342]
0.20308654010295868,1.0971705913543701,-1.5996707677841187,-1.2771384716033936,11.15860110455817,60.2840984260643,-87.89399822989664,-70.17244349469196,[-0.0178597],[0.00927164],[-0.02163033],[-0.01679446]
0.20130471885204315,1.0980980396270752,-1.6018294095993042,-1.2788299322128296,11.060698838024349,60.33505712236677,-88.0126049230387,-70.26538089081481,[-0.01815667],[0.00913567],[-0.02147823],[-0.01664351]
0.1994921863079071,1.0990127325057983,-1.6039714813232422,-1.280495524406433,10.961109137797093,60.38531497284607,-88.13030117160672,-70.35689694540841,[-0.01862619],[0.00902085],[-0.02132552],[-0.01650174]
0.19763441383838654,1.0999157428741455,-1.606106162071228,-1.2821309566497803,10.859033727383876,60.43493092715085,-88.24759132259496,-70.44675585987804,[-0.01906441],[0.00892347],[-0.02111334],[-0.01633334]
0.19573253393173218,1.1008085012435913,-1.608222246170044,-1.283780574798584,10.754534831413856,60.48398358481271,-88.36385967967274,-70.53739421970242,[-0.01938497],[0.00882741],[-0.02095544],[-0.01619707]
0.19379739463329315,1.1016916036605835,-1.610318899154663,-1.2854101657867432,10.648208496334789,60.53250569563646,-88.47906039311336,-70.62693218608479,[-0.0198388],[0.00871593],[-0.02082162],[-0.01606761]
0.19181816279888153,1.1025639772415161,-1.6123998165130615,-1.287006139755249,10.53945949444404,60.58043830997342,-88.59339651170669,-70.71462306347523,[-0.02004861],[0.00859278],[-0.02063792],[-0.01590379]
0.18981561064720154,1.1034241914749146,-1.6144601106643677,-1.2885985374450684,10.429429156439646,60.62770282829201,-88.70659948705317,-70.80211744203673,[-0.02050765],[0.00846696],[-0.02044156],[-0.01573137]
0.18776962161064148,1.1042720079421997,-1.6165025234222412,-1.2901772260665894,10.317012176408873,60.67428615067032,-88.81881996825501,-70.88885857508733,[-0.02075821],[0.00835976],[-0.02027054],[-0.01558216]
0.1856965273618698,1.1051088571548462,-1.6185362339019775,-1.291737675666809,10.203105899003836,60.720266876639904,-88.93056230230646,-70.9745975641104,[-0.02125212],[0.00825687],[-0.02009695],[-0.01543341]
0.18357643485069275,1.1059353351593018,-1.6205424070358276,-1.2932783365249634,10.086617299488614,60.765677756005594,-89.04079159537515,-71.05924925961338,[-0.02161522],[0.00812763],[-0.01989273],[-0.01525469]
0.1814187616109848,1.1067488193511963,-1.6225367784500122,-1.2948092222213745,9.968063824779385,60.81037468962617,-89.15037244230837,-71.14336385831729,[-0.02192397],[0.00801542],[-0.01970961],[-0.01509603]
0.17922961711883545,1.1075512170791626,-1.624505639076233,-1.2963179349899292,9.847781160375575,60.85446247687707,-89.25855159759521,-71.22626016428183,[-0.02232056],[0.00788516],[-0.01950181],[-0.01491467]
0.1770016849040985,1.1083407402038574,-1.6264594793319702,-1.2978144884109497,9.725367302422995,60.897842868343815,-89.36590545780057,-71.308488374228,[-0.0226659],[0.00776997],[-0.01931116],[-0.01475019]
0.17473870515823364,1.1091185808181763,-1.6283875703811646,-1.299293875694275,9.601027755946903,60.94058136363606,-89.47184452643762,-71.38977338979532,[-0.02304265],[0.00763943],[-0.01911704],[-0.01457646]
0.17243841290473938,1.109883427619934,-1.6303030252456665,-1.3007473945617676,9.474638071688977,60.98260591318319,-89.57708929921245,-71.46963706383339,[-0.0234109],[0.00752041],[-0.01890028],[-0.01439507]
0.17010116577148438,1.1106363534927368,-1.6321905851364136,-1.302195429801941,9.346217899532109,61.02397546663389,-89.68080138112163,-71.54919943966709,[-0.02369348],[0.00738914],[-0.01870096],[-0.0142179]
0.16773483157157898,1.111376166343689,-1.634061574935913,-1.3036141395568848,9.216199536899945,61.064624524378516,-89.78360301845677,-71.62715052510356,[-0.02402879],[0.00726923],[-0.01847991],[-0.01403356]
0.1653355062007904,1.1121042966842651,-1.6359132528305054,-1.3050236701965332,9.084368472570901,61.10463168594864,-89.88534356211568,-71.70459726354578,[-0.02439901],[0.00715037],[-0.01826972],[-0.01385592]
0.16289956867694855,1.1128196716308594,-1.6377384662628174,-1.3064093589782715,8.95052575148069,61.143938001695574,-89.98563001444052,-71.78073400979514,[-0.0246595],[0.00701665],[-0.01804554],[-0.01366319]
0.1604364961385727,1.1135221719741821,-1.6395416259765625,-1.3077764511108398,8.815192095525973,61.18253692165836,-90.08470472398696,-71.85584896213406,[-0.02498641],[0.0068921],[-0.01781413],[-0.01347063]
0.1579413264989853,1.1142123937606812,-1.6413302421569824,-1.3091286420822144,8.67809486258161,61.220461195641825,-90.18298033829574,-71.93014516935244,[-0.02539893],[0.00677863],[-0.01759032],[-0.01328766]
0.15540584921836853,1.1148910522460938,-1.6430877447128296,-1.310463309288025,8.538782924086183,61.257750123411746,-90.27954641279284,-72.00347853230906,[-0.02572317],[0.00664633],[-0.0173678],[-0.01309645]
0.15283703804016113,1.1155563592910767,-1.6448224782943726,-1.3117743730545044,8.397639452756106,61.29430545555366,-90.37486144474575,-72.07551500299475,[-0.02605474],[0.00652302],[-0.01714246],[-0.01290789]
