theta1,theta2,theta3,theta4,pulsos1,pulsos2,pulsos3,pulsos4,velocidad1,velocidad2,velocidad3,velocidad4
0.10674171894788742,1.3680613040924072,-1.1947712898254395,-1.4031031131744385,5.864929612521287,75.16820352156084,-65.64677416623294,-77.09357764694717,[0.00233616],[0.01299296],[-0.01418862],[-0.01532163]
0.10697615146636963,1.3693609237670898,-1.196245551109314,-1.404568076133728,5.8778105201302,75.23961119599394,-65.72777753347879,-77.1740701172378,[0.00222458],[0.01310319],[-0.01399817],[-0.01523904]
0.10719968378543854,1.3706693649291992,-1.1976312398910522,-1.4061596393585205,5.8900925156834365,75.31150356753842,-65.80391427972815,-77.26151864607256,[0.00235231],[0.01300032],[-0.01399286],[-0.0151883]
0.10743360966444016,1.371970295906067,-1.198989987373352,-1.4076788425445557,5.902945585958251,75.38298329154215,-65.87857073479957,-77.34499134860197,[0.00248237],[0.01296624],[-0.01402716],[-0.01519452]
0.10768048465251923,1.3732675313949585,-1.2004514932632446,-1.4091979265213013,5.916510145742815,75.45425996675597,-65.95887325622223,-77.4284575011704,[0.00261431],[0.01310241],[-0.01411478],[-0.01531154]
0.10794055461883545,1.3745759725570679,-1.2018216848373413,-1.4107086658477783,5.930799704331618,75.52615233830043,-66.03415850754622,-77.51146515647135,[0.00182461],[0.01296321],[-0.01401912],[-0.01518351]
0.10813090205192566,1.3758735656738281,-1.2032217979431152,-1.4122473001480103,5.94125835450141,75.59744866339716,-66.11108779907227,-77.59600550263792,[0.00192925],[0.0130057],[-0.01407359],[-0.015237]
0.10832276940345764,1.3771734237670898,-1.2046467065811157,-1.413770318031311,5.951800516673497,75.66886943775219,-66.18937948247888,-77.67968780391818,[0.00205947],[0.01305166],[-0.0141292],[-0.01529262]
0.10852738469839096,1.378477931022644,-1.2060596942901611,-1.4152988195419312,5.963043115296207,75.74054566058484,-66.26701616978907,-77.76367140340281,[0.00219253],[0.01302072],[-0.01415782],[-0.01529598]
0.1087452620267868,1.3797801733016968,-1.2074763774871826,-1.416827917098999,5.975014397076198,75.81209743415917,-66.34485590588916,-77.84768775269225,[0.00232768],[0.0129859],[-0.01418412],[-0.01529598]
0.10897664725780487,1.3810786008834839,-1.208873987197876,-1.4183136224746704,5.9877278713079605,75.88343960898263,-66.42164764823495,-77.92931991619068,[0.0016886],[0.012914],[-0.01401451],[-0.01514799]
0.10915186256170273,1.3823702335357666,-1.2102750539779663,-1.4198737144470215,5.997355085807842,75.95440843603113,-66.4986293394487,-78.01503925533085,[0.01808019],[0.01143252],[-0.01254533],[-0.0135013]
0.11079586297273636,1.3835279941558838,-1.2115625143051147,-1.4212400913238525,6.087684778721778,76.0180216569167,-66.56936891786346,-78.090114907904,[0.00312033],[0.01292912],[-0.01405349],[-0.01517682]
0.11125746369361877,1.3848055601119995,-1.212913155555725,-1.4227404594421387,6.11304745569334,76.08821758857141,-66.64357997558929,-78.17255271660103,[0.00326071],[0.01288044],[-0.01409662],[-0.01518197]
0.11158213019371033,1.3860934972763062,-1.2143833637237549,-1.4242583513259888,6.130886274379688,76.15898336683001,-66.72436064416236,-78.25595336955982,[0.00340077],[0.01304688],[-0.01420876],[-0.01532885]
0.11192077398300171,1.387396216392517,-1.2157644033432007,-1.4257277250289917,6.149493075989105,76.2305613402482,-66.8002419419341,-78.33668818840614,[0.00190895],[0.0128824],[-0.01392549],[-0.01506386]
0.11212658882141113,1.3886854648590088,-1.2171580791473389,-1.427298665046692,6.160801583594019,76.30139916807741,-66.87681753556807,-78.42300357399407,[0.00201378],[0.0129233],[-0.01397247],[-0.01511158]
0.11232694238424301,1.389977216720581,-1.218562364578247,-1.4288091659545898,6.171810021112254,76.37237454508687,-66.95397607572787,-78.50599812937307,[0.00215326],[0.01296908],[-0.01402945],[-0.01516795]
0.1125408336520195,1.3912734985351562,-1.2199565172195435,-1.4303250312805176,6.1835622885725,76.44359882061299,-67.03057786920569,-78.58928743299548,[0.00229357],[0.0129383],[-0.01405864],[-0.01517147]
0.1127687320113182,1.3925673961639404,-1.221348762512207,-1.431792974472046,6.196084176446056,76.5146920969198,-67.10707486330809,-78.66994365231022,[0.00158423],[0.01289837],[-0.01388013],[-0.01503247]
0.11293421685695648,1.393857479095459,-1.2227505445480347,-1.4333466291427612,6.205176750382225,76.58557577447577,-67.18409585428762,-78.75530929355831,[0.00168441],[0.01294379],[-0.01393174],[-0.0150852]
0.11310161650180817,1.3951516151428223,-1.2241315841674805,-1.4348543882369995,6.214374533066383,76.65668215070453,-67.25997715205936,-78.83815319983515,[0.00182196],[0.01291307],[-0.01396394],[-0.01509072]
0.11328235268592834,1.3964431285858154,-1.2255123853683472,-1.4363633394241333,6.224305092633426,76.72764442779206,-67.33584534990919,-78.92106260572162,[0.00196395],[0.01288041],[-0.01399497],[-0.01509452]
0.11347728222608566,1.3977309465408325,-1.2268707752227783,-1.4378725290298462,6.235015506927784,76.7984036560897,-67.41048215509771,-79.00398511153001,[0.00210508],[0.01284629],[-0.01402543],[-0.01509731]
0.11368639022111893,1.3990159034729004,-1.2283127307891846,-1.4393821954727173,6.246504957204337,76.8690056853242,-67.48971048292223,-79.08693381718227,[0.00224813],[0.01298567],[-0.01411324],[-0.01521602]
0.11390968412160873,1.400313138961792,-1.2297165393829346,-1.4409027099609375,6.258773852835645,76.94028236053802,-67.56684282323816,-79.17047856928228,[0.00238996],[0.01295727],[-0.01414181],[-0.0152199]
0.11414726823568344,1.401608943939209,-1.2311160564422607,-1.4423507452011108,6.271827925037552,77.01148043622028,-67.64373936495939,-79.25004094511598,[0.00166166],[0.01289784],[-0.01385535],[-0.01500108]
0.11432071775197983,1.4028993844985962,-1.2325183153152466,-1.4439266920089722,6.28135811824065,77.08238376365914,-67.72078655578278,-79.33663142906441,[0.00176107],[0.01294198],[-0.01390179],[-0.01504976]
0.1144958883523941,1.4041931629180908,-1.2338992357254028,-1.4454307556152344,6.290982876505171,77.15347049000499,-67.79666130359357,-79.41927228655135,[0.00189774],[0.01290918],[-0.01393201],[-0.01505278]
0.11468426883220673,1.405483603477478,-1.235272765159607,-1.4469358921051025,6.301333452319051,77.22437381744385,-67.87212995382455,-79.50197209368696,[0.00204178],[0.0128748],[-0.01396311],[-0.01505561]
